,author_id,keyword_list,morphs_list
11,@0to1hunnit,"['음악', '노래', '콘서트', '패션', '브랜드', '편집', '인천국제공항', '인천대교', '에세이', '성공', '자기계발', '힙합', '책', '독서', '글쓰기', '패션디자인', '패션', '잡지', '생각', '에세이', '단상', '문학', '소설', '독서', '김한길', '작가', '정치인', '중학교', '에세이', '인생', '단상', '지하철', '에세이']","['음악', '노래', '콘서트', '패션', '브랜드', '편집', '인천', '국제공항', '인천', '대교', '에세이', '성공', '자기계', '받', '힙합', '책', '독서', '글쓰기', '패션', '디자인', '패션', '잡지', '생각', '에세이', '단상', '문학', '소설', '독서', '김', '하', 'ㄴ', '길', '작가', '정치인', '중학교', '에세이', '인생', '단상', '지하철', '에세이']"
13,@10000score,"['운동', '그림일기', '요가', '그림일기', '웹툰', '요가']","['운동', '그림', '일기', '요가', '그림', '일기', '웹', '툰', '요가']"
15,@100ido,"['아이러니', '사람', '상처']","['아이러니', '사람', '상처']"
16,@119healing,['소방관'],['소방관']
17,@131ji,"['트렌드', '독서', '후기']","['트렌드', '독서', '후기']"
18,@137tjdqo,"['브랜드', '과일', '참외', '토마토', '부산', '과일']","['브랜드', '과일', '참외', '토마토', '부산', '과일']"
19,@1390619,"['식물', '퇴사', '신경정신과', '미용실', '헤어디자이너', '머리', '독서', '채식', '죽음', '미니멀라이프', '공간', '비움']","['식물', '퇴사', '신경', '정신', '과', '미용실', '헤어', '디자이너', '머리', '독서', '채식', '죽음', '미니멀', '라이프', '공간', '비우', 'ㅁ']"
20,@13july,"['그림일기', '일러스트레이션', '정전', '미니멀라이프', '라이프스타일', '일러스트레이션', '쓰레기', '일러스트레이션', '환경', '소비생활', '라이프스타일', '일러스트레이션', '그림일기', '일러스트레이션', '이민생활']","['그림', '일기', '일', '러스트', '레이션', '정전', '미니멀', '라이프', '라이프', '스타일', '일', '러스트', '레이션', '쓰레기', '일', '러스트', '레이션', '환경', '소비', '생활', '라이프', '스타일', '일', '러스트', '레이션', '그림', '일기', '일', '러스트', '레이션', '이민', '생활']"
21,@1khhan,"['박하사탕', '순간', '영화', '복숭아', '여름바다', '사랑', '영화', '어벤져스', '히어로물', '루소', '교육', '무기력', '영화', '심야영화', '사랑', '우리', '영향', '사랑', '슈퍼맨', '강적', '사랑', '상실', '고독', '생각', '우리', '애정결핍', '결핍', '습관', '위플래쉬', '영화', '라라랜드', '우주', '순간', '명왕성', '마음', '한강', '사랑', '자신', '이해', '심리', '위플래쉬', '라라랜드', '영화', '생각', '연애', '사랑', '생각', '자신', '싸움', '자아', '라이너스의담요', '겨울왕국', '사용']","['박하사탕', '순간', '영화', '복숭아', '여름', '바다', '사랑', '영화', '어', '어', '베', 'ㄴ', '지', '어', '스', '히', '어로', '물', '루', '소', '교육', '무기력', '영화', '심야', '영화', '사랑', '우리', '영향', '사랑', '슈퍼맨', '강적', '사랑', '상실', '고독', '생각', '우리', '애정', '결핍', '결핍', '습관', '위', '플래쉬', '영화', '라', '라', '랜드', '우주', '순간', '명왕성', '마음', '한강', '사랑', '자신', '이해', '심리', '위', '플래쉬', '라', '라', '랜드', '영화', '생각', '연애', '사랑', '생각', '자신', '싸움', '자아', '라이너스', '의', '담요', '겨울', '왕국', '사용']"
22,@1one,"['손흥민', '챔피언스리그', '해외축구', '이강인', '해외축구', '발렌시아', '기성용', '프리미어리그', '해외축구', '시', '에세이', '섬', '손흥민', '챔피언스리그', '손흥민골', '기성용', '프리미어리그', '해외축구', '손흥민', '해외축구', '프리미어리그', '맨유', '첼시', '해외축구', '손흥민', '토트넘', '해외축구', '맨유', '프리미어리그', '해외축구']","['손', '흥', '민', '챔피언', '스리', '긋', '해외', '축구', '이', '강인', '해외', '축구', '발', '렌', '시', '아', '기성', '용', '프리미어', '리그', '해외', '축구', '시', '에세이', '섬', '손', '흥', '민', '챔피언', '스리', '긋', '손', '흥', '민', '골', '기성', '용', '프리미어', '리그', '해외', '축구', '손', '흥', '민', '해외', '축구', '프리미어', '리그', '맨', '유', '첼', '시', '해외', '축구', '손', '흥', '민', '토트', '넘', '해외', '축구', '맨', '유', '프리미어', '리그', '해외', '축구']"
23,@2002cta,"['상가투자', '상가분양', '상가', '부동산', '상가분양', '상가투자', '부동산', '상가투자', '상가', '부동산', '상가투자', '상가분양', '상가투자', '부동산', '상가', '상가', '상가분양', '분양상가', '부동산', '차별화', '설계', '상가', '상가분양', '더블역세권', '상가', '부동산', '분양상가', '부동산', '상가', '상가분양']","['상가', '투자', '상가', '분양', '상가', '부동산', '상가', '분양', '상가', '투자', '부동산', '상가', '투자', '상가', '부동산', '상가', '투자', '상가', '분양', '상가', '투자', '부동산', '상가', '상가', '상가', '분양', '분양', '상가', '부동산', '차별화', '설계', '상가', '상가', '분양', '더블', '역세권', '상가', '부동산', '분양', '상가', '부동산', '상가', '상가', '분양']"
24,@200soo,"['로또복권', '로또', '당첨']","['로또', '복권', '로또', '당첨']"
25,@20161204,"['여행', '속초', '브랜드']","['여행', '속', '초', '브랜드']"
26,@21missionary,"['사랑', '행복', '세상', '아재', '개그', '아저씨', '고독', '관심', '육아', '가족', '유언', '사랑', '눈길', '말', '사랑']","['사랑', '행복', '세상', '아재', '개그', '아저씨', '고독', '관심', '육아', '가족', '유언', '사랑', '눈길', '말', '사랑']"
27,@22z,"['주짓수', '운동', '스타트']","['주', '짓', '수', '운동', '스타트']"
28,@2589000,"['시간', '자기계발', '청소', '노력', '성공', '인생']","['시간', '자기계', '받', '청소', '노력', '성공', '인생']"
29,@2691999,"['한국예술종합학교', '우면산', '남부터미널', '어린이대공원', '세종대학교', '동물원', '서울둘레길', '연희', '시장', '한국영화', '유해진', '영화리뷰', '사랑', '영화리뷰', '폴란드', '영화', '일본영화', '영화리뷰', '일본애니매이션', '호소다마모루', '리뷰', '서울둘레길', '반포대교', '남산', '한국영화', '벙커', '영화리뷰']","['한국', '예술', '종합', '학교', '우', '이', '면', '산', '남부', '터미널', '어린이', '대공원', '세종', '대학교', '동물원', '서울', '둘레', '긷', '연희', '시장', '한국', '영화', '유해', '진', '영화', '리뷰', '사랑', '영화', '리뷰', '폴란드', '영화', '일본', '영화', '영화', '리뷰', '일본', '애', '니', '매이', '션', '호', '소다', '마모루', '리뷰', '서울', '둘레', '긷', '반포', '대교', '남산', '한국', '영화', '벙커', '영화', '리뷰']"
30,@2840058,"['시니어창업', '창업', '경쟁상대', '계획', '작심삼일', '도전', '시니어창업', '창업', '역량개발', '창업아이템', '시니어창업', '창업', '시니어창업', '창업', '멘토링', '카페컨설팅', '카페', '창업']","['시니어', '창업', '창업', '경쟁', '상대', '계획', '작심', '삼일', '도전', '시니어', '창업', '창업', '역량', '개발', '창업', '아이템', '시니어', '창업', '창업', '시니어', '창업', '창업', '멘토링', '카페', '컨설팅', '카페', '창업']"
31,@297green,"['극한직업', '영화', '엄마']","['극', '하', 'ㄴ', '직업', '영화', '엄마']"
32,@2beendaddy,"['친구', '인생', '고민', '직업', '인생', '선택', '면접', '회사', '업무능력']","['친구', '인생', '고민', '직업', '인생', '선택', '면접', '회사', '업무', '능력']"
33,@2edu4all,"['극한직업', '영화감상', '영화', '증인', '영화리뷰', '영화비평']","['극', '하', 'ㄴ', '직업', '영화', '감상', '영화', '증인', '영화', '리뷰', '영화', '비평']"
34,@2eesg,"['당신', '잉크', '종이']","['당신', '잉크', '종이']"
35,@2gafour,"['롤러코스터', '놀이', '해외여행', '커피', '아메리카노', '정신', '아가', '소녀', '엄마', '만화책', '와인', 'queen', '원두', '커피', '그라인더', '가든그로브', '싱가포르', '우주', '책', '좋은글', '사진', '인공', '자연', '강도', '인격', '무관심', '고통', '오늘', '만남', '친구', '눈물', '마음', '바다', '노을', '파도', '웃음', '소리', '첫날', '도착', '행복', '어린왕자']","['롤러', '코스터', '놀이', '해외여행', '커피', '아메리카', '노', '정신', '아가', '소녀', '엄마', '만화책', '와인', 'queen', '원두', '커피', '그라인더', '가든', '그로브', '싱', '가', '아', '포', '르', '우주', '책', '좋', '은', '글', '사진', '인공', '자연', '강도', '인격', '무관심', '고통', '오늘', '만남', '친구', '눈물', '마음', '바다', '노을', '파도', '웃음', '소리', '첫날', '도착', '행복', '어리', 'ㄴ', '왕자']"
36,@2hananim,"['공인중개사', '부동산', '고객', '비즈니스', '부동산', '공인중개사']","['공인', '중개사', '부동산', '고객', '비즈니스', '부동산', '공인', '중개사']"
37,@2highlight,"['아를', '마르세유', '프랑스']","['아', '를', '마르', '세유', '프랑스']"
39,@2jinoo,"['영화', '글', '리뷰', '영화', '리뷰', '영화리뷰']","['영화', '글', '리뷰', '영화', '리뷰', '영화', '리뷰']"
40,@2lab,"['좀비영화', '좀비', '좀비물']","['좀비', '영화', '좀비', '좀비', '물']"
41,@2months,"['독립출판', '독서', '에세이', '여행', '독서', '독립출판', '독립출판', '인터뷰', '독서', '직업', '사서', '독서', '독립출판', '청소', '독서']","['독립', '출판', '독서', '에세이', '여행', '독서', '독립', '출판', '독립', '출판', '인터뷰', '독서', '직업', '사서', '독서', '독립', '출판', '청소', '독서']"
42,@2mushroom,"['공감에세이', '그림일기', '드로잉']","['공감', '에', '세', '이', '그림', '일기', '드로잉']"
43,@2my,"['즐거움', '퇴사', '카뮈']","['즐거움', '퇴사', '카', '뮈']"
44,@2o18o519,"['인테리어', '시장', '셀프']","['인테리어', '시장', '셀프']"
45,@2string,"['덴마크', '음식', '북유럽', '케이크', '부다페스트', '빈']","['덴마크', '음식', '북유럽', '케이크', '부', '다', '페스트', '비', 'ㄴ']"
46,@2xcollector,"['여행', '조지아', '기본정보']","['여행', '조지아', '기본', '정보']"
47,@3000won,"['문화예술', '예술', '모임']","['문화', '예술', '예술', '모임']"
48,@30shesummer,"['가슴', '콤플렉스', 'SNS', '강점', '성공', '커리어', '택배', '테이프', '물류서비스']","['가슴', '콤플렉스', 'SNS', '강점', '성공', '커리어', '택배', '테이프', '물류', '서비스']"
49,@30story,"['한남동', '원주민', '젠트리피케이션', '한남동', '젠트리피케이션', '아파트']","['한남동', '원주민', '젠', '트리', '피케이', '션', '한남동', '젠', '트리', '피케이', '션', '아파트']"
50,@30years,"['독일', '중국인', '도시', '여행', '독일', '낭만', '베를린', '독일', '도시', '버스킹', '도시', '라이프치히', '독일', '드레스덴', '도시']","['독일', '중국인', '도시', '여행', '독일', '낭만', '베를린', '독일', '도시', '버스', '킹', '도시', '라이프', '하', '지', '히', '독일', '드레스', '델', 'ㄴ', '도시']"
51,@3122146564,"['레시피', '홈베이킹', '꽈배기', '레시피', '홈베이킹', '요리', '레시피', '요리', '방울양배추', '요리', '새우튀김', '새우', '레시피', '홈베이킹', '요리', '요리', '레시피', '오미자', '요리', '레시피', '삼겹살']","['레', '시피', '홈', '베이', '킹', '꽈배기', '레', '시피', '홈', '베이', '킹', '요리', '레', '시피', '요리', '방울', '양배추', '요리', '새우', '튀김', '새우', '레', '시피', '홈', '베이', '킹', '요리', '요리', '레', '시피', '오미자', '요리', '레', '시피', '삼겹살']"
52,@3701yojung,"['우울증', '정신건강의학과', '취준생', '우울증', '정신건강의학과', '일기', '수면제', '우울증', '치료', '정신과', '우울증', '취준생']","['우울증', '정신', '건강', '의학', '과', '취', '주', 'ㄴ', '생', '우울증', '정신', '건강', '의학', '과', '일기', '수면제', '우울증', '치료', '정신과', '우울증', '취', '주', 'ㄴ', '생']"
53,@38ddarazi,"['그림', '미술', '미술품', '그림', '미술', '그림에세이', '공공미술', '그림', '미술', '그림', '현대미술', '미술']","['그림', '미술', '미술품', '그림', '미술', '그림', '에', '세', '이', '공공', '미술', '그림', '미술', '그림', '현대', '미술', '미술']"
54,@38mrlee,"['은하수', '몽골여행', '몽골', '별', '은하수', '영상제작', '별', '영상제작', '반영사진']","['은하수', '몽', '골', '여행', '몽', '골', '별', '은하수', '영상', '제작', '별', '영상', '제작', '반영', '사진']"
55,@3fbaksghkrk,"['습관', '동기', '심리학', '인간중심상담', '상담', '주요상담기법', '심리', '불안', '인지', '심리', '관계', '자존감', '심리학', 'SNS', '중독', '심리학', '관계', '연애', '사이코패스', '심리학', '인격장애', '심리', '코르셋', '외모', '건강', '심리', '식단', '인간중심상담', '상담', '심리', '인간중심상담', '상담', '인간', '심리학', '부모교육', '청소년', '꼰대', '지혜', '심리', '심리', '성공', '나르시시즘', '결혼', '싱글', '심리학']","['습관', '동기', '심리학', '인간', '중심', '상담', '상담', '주요', '상담', '기법', '심리', '불안', '이', 'ㄴ지', '심리', '관계', '자존', '감', '심리학', 'SNS', '중독', '심리학', '관계', '연애', '사이코', '패스', '심리학', '인격', '장애', '심리', '코르셋', '외모', '건강', '심리', '식단', '인간', '중심', '상담', '상담', '심리', '인간', '중심', '상담', '상담', '인간', '심리학', '부모', '교육', '청소년', '꼰대', '지혜', '심리', '심리', '성공', '나르시시즘', '결혼', '싱글', '심리학']"
56,@3hdl,"['넷플릭스', '음식', '테이블', '알람', '시간', '계산']","['넷', '플릭', '슬', '음식', '테이블', '알람', '시간', '계산']"
57,@3minff,"['단편영화', '영화', '영화추천', '인터뷰', '배우', '유튜브']","['단편', '영화', '영화', '영화', '추천', '인터뷰', '배우', '유', '튜브']"
58,@3swallowing,"['직장인', '서비스', '감정노동']","['직장인', '서비스', '감정', '노동']"
59,@4nab2,"['만화', '웹툰', '남편']","['만화', '웹', '툰', '남편']"
60,@4noramyeon,"['봄', '기다림', '꽃', '걱정', '마음', '공감에세이', '봄', '하늘', '별', '정월대보름', '보름달', '소원', '성당', '가톨릭', '봄', '공감에세이', '캘리그라피', '풍경', '바람', '공감에세이', '감동', '공감', '캘리그라피', '가톨릭', '밥', '공감에세이', '꽃', '나무', '봄', '세월', '명동', '추억', '마음', '정치', '일본', '노래', '공감에세이', '추억', '봄', '오늘', '공감에세이', '나비', '그리움', '감성에세이', '엄마', '걱정', '공감에세이', '봄', '겨울', '그리움', '불교', '공감', '공감에세이']","['봄', '기다리', 'ㅁ', '꽃', '걱정', '마음', '공감', '에', '세', '이', '봄', '하늘', '별', '정월', '대보름', '보름달', '소원', '성당', '가톨릭', '봄', '공감', '에', '세', '이', '캐', 'ㄹ', '리', '그', '라', '피', '풍경', '바람', '공감', '에', '세', '이', '감동', '공감', '캐', 'ㄹ', '리', '그', '라', '피', '가톨릭', '밥', '공감', '에', '세', '이', '꽃', '나무', '봄', '세월', '명동', '추억', '마음', '정치', '일본', '노래', '공감', '에', '세', '이', '추억', '봄', '오늘', '공감', '에', '세', '이', '나비', '그리움', '감성', '에', '세', '이', '엄마', '걱정', '공감', '에', '세', '이', '봄', '겨울', '그리움', '불교', '공감', '공감', '에', '세', '이']"
61,@5-comet,"['책', '책리뷰', '문화']","['책', '책', '리뷰', '문화']"
62,@533campus,"['창업교육', '창업경험', '스타트업']","['창업', '교육', '창업', '경험', '스타트', '업']"
63,@58snow,"['1학년', '관계', '질문']","['1', '학년', '관계', '질문']"
65,@5moon2,"['순간', '생각', '인생', '인터뷰', '사진', '아일랜드', '인터뷰', '인정', '떡볶이']","['순간', '생각', '인생', '인터뷰', '사진', '아일랜드', '인터뷰', '인정', '떡볶이']"
66,@5more-seconds,"['다큐멘터리', '예능', '인생']","['다큐멘터리', '예능', '인생']"
67,@6671105,"['그림일기', '해외여행', '글쓰기']","['그림', '일기', '해외여행', '글쓰기']"
68,@6gram,"['삼겹살', '돼지고기', '고기', '카페', '마장동', '분식']","['삼겹살', '돼지고기', '고기', '카페', '마장동', '분식']"
69,@6om,"['에이전시', '디자이너', '회사']","['에이', '전시', '디자이너', '회사']"
70,@7-words,"['타일', '보수공사', '셀프인테리어']","['타일', '보수', '공사', '셀프', '이', 'ㄴ', '테리어']"
71,@700km,"['아이', '인격', '비판']","['아이', '인격', '비판']"
72,@707,"['아이슬란드', '새해', '커리어']","['아이', '슬', '란', '들', '새해', '커리어']"
73,@76klavier,"['유럽여행', '아들', '드레스덴', '아들', '유럽', '클래식', '클래식', '유럽여행', '새해', '책', '여행', '유럽', '클래식', '마음', '브람스', '피아노', '감성에세이', '책', '유럽여행', '도시', '클래식', '클래식', '나', '쿠바', '클래식', '친구', '피아노', '사랑', '파리', '클래식']","['유럽', '여행', '아들', '드레스', '델', 'ㄴ', '아들', '유럽', '클래식', '클래식', '유럽', '여행', '새해', '책', '여행', '유럽', '클래식', '마음', '브람스', '피아노', '감성', '에', '세', '이', '책', '유럽', '여행', '도시', '클래식', '클래식', '나', '쿠바', '클래식', '친구', '피아노', '사랑', '파리', '클래식']"
74,@79alley,['코끼리'],['코끼리']
75,@7wishlist,"['버스', '도림천', '타임슬립', '골목', '글쓰기', '이야기창고', '영화', '겟아웃', '스릴러', '문학동네', '시인', '팟캐스트', '글쓰기', '고독', '연휴']","['버스', '도림천', '타임', '슬립', '골목', '글쓰기', '이야기', '창고', '영화', '겟아', '웃', '스릴러', '문학', '동네', '시인', '팟', '캐스트', '글쓰기', '고독', '연휴']"
76,@80percentage,"['중국여행', '여행', '중국', '세계여행', '해외여행', '콜롬비아']","['중국', '여행', '여행', '중국', '세계', '여행', '해외여행', '콜롬비아']"
77,@8893,"['연애', '매력', '사랑']","['연애', '매력', '사랑']"
78,@8ocheng,"['그림일기', '신혼일기', '웹툰']","['그림', '일기', '신혼', '일기', '웹', '툰']"
79,@909090k,"['마케팅', '인플루언서', '크리에이터']","['마케팅', '이', 'ㄴ', '플', '로', '언서', '크리', '에', '이', '터']"
80,@90ekil200,"['시간', '일상']","['시간', '일상']"
81,@91right,"['남아공', '아프리카', '여행', '남아공', '펭귄', '케이프타운', '케이프타운', '아프리카', '남아공']","['남', '아', '공', '아프리카', '여행', '남', '아', '공', '펭귄', '케이프', '타운', '케이프', '타운', '아프리카', '남', '아', '공']"
82,@92bom2,"['호주', '여행', '퇴사']","['호주', '여행', '퇴사']"
83,@930,"['선택', '프랑스', '옹플뢰르', '과거', '런던', '그리움', '프랑스', '바다마을', '노르망디', '뉘른베르크', '연결', '후회', '우체통', '마음속', '오스트리아', '장미의이름', '역사', '영화', '파리', '여행정보', '백화점', '스트라스부르', '종교', '돈', '뉘른베르크', '교회', '유럽여행', '그라나다', '스페인여행', '역사', '파리여행', '에세이', '인셉션', '포기', '에펠탑', '위로', '뉘른베르크', '관심', '여행']","['선택', '프랑스', '옹', '플뢰', '르', '과거', '런던', '그리움', '프랑스', '바다', '마을', '노', '르', '망', '디', '뉘른', '베르크', '연결', '후회', '우체통', '마음속', '오스트', '리', '아', '장미', '의', '이름', '역사', '영화', '파리', '여행', '정보', '백화점', '스트라', '스부', '르', '종교', '돈', '뉘른', '베르크', '교회', '유럽', '여행', '그라나다', '스페인', '여행', '역사', '파리', '여행', '에세이', '이', 'ㄴ', '셉션', '포기', '에펠탑', '위로', '뉘른', '베르크', '관심', '여행']"
84,@9320km,"['공감에세이', '감성사진', '해외생활']","['공감', '에', '세', '이', '감성', '사진', '해외', '생활']"
85,@97928275,"['무기력', '출근', '백수', '파도', '시', '겨울', '백수', '대화', '사람이야기', '연애', '친구', '단편소설']","['무기력', '출근', '백수', '파도', '시', '겨울', '백수', '대화', '사람', '이야기', '연애', '친구', '단편', '소설']"
86,@999999999,"['엄마', '일기', '에세이', '남자', '연애', '말투', '오타', '메시지', '일기', '목줄', '회사원', '강아지', '사랑', '편지', '상처', '일기', '동생', '일기장']","['엄마', '일기', '에세이', '남자', '연애', '말투', '오', '타', '메시지', '일기', '목줄', '회사원', '강아지', '사랑', '편지', '상처', '일기', '동생', '일기장']"
87,@99production,"['아티스트', '생각', '스타트업']","['아티스트', '생각', '스타트', '업']"
88,@a014215,"['이야기', '시작', '마음', '친구', '행복', '사진', '집중력', '집중', '실수', '감정', '사람', '눈물', '생각', '행동', '생각', '시간', '인생', '선택', '집중', '후회']","['이야기', '시작', '마음', '친구', '행복', '사진', '집중력', '집중', '실수', '감정', '사람', '눈물', '생각', '행동', '생각', '시간', '인생', '선택', '집중', '후회']"
89,@a2bebike,"['전기자전거', '자전거', '미드드라이브']","['전기자전거', '자전거', '미', '드', '드라이브']"
90,@aa3062545,"['스타트업', '개발자', '실리콘밸리', '프로그래머', '개발자', '프로그래밍', 'SF', '픽션', '소설', '애플', '아마존', '플랫폼']","['스타트', '업', '개발자', '실리콘', '밸리', '프로그래머', '개발자', '프로그래밍', 'SF', '픽션', '소설', '애플', '아마존', '플랫폼']"
91,@aaa,"['RSS', '브런치', 'brunch']","['RSS', '브런', '치', 'brunch']"
92,@aaa2877,"['영화', '스릴러', '타임', '영화리뷰', '자폐증', '법원', '영화리뷰', '영화', '좀비영화', '영화리뷰', '류준열', '형사']","['영화', '스릴러', '타임', '영화', '리뷰', '자폐증', '법원', '영화', '리뷰', '영화', '좀비', '영화', '영화', '리뷰', '류', '준열', '형사']"
93,@aamond6500,"['조국광복', '하늘', '한반도', '유리구슬', '유관순', '독립기념관']","['조국', '광복', '하늘', '한반도', '유리', '구슬', '유관순', '독립', '기념관']"
94,@aamuroo,"['생일', '기분', '위로', '기관', '부모', '응원']","['생일', '기분', '위로', '기관', '부모', '응원']"
95,@aanong,"['드라마', '사랑', '김수현']","['드라마', '사랑', '김', '수', '현']"
96,@abcddd,"['에세이', '공감에세이', '일상에세이', '일상에세이', '에세이', '공감에세이']","['에세이', '공감', '에', '세', '이', '일상', '에', '세', '이', '일상', '에', '세', '이', '에세이', '공감', '에', '세', '이']"
97,@ablejwk2002,"['바다', '키스', '졸업', '행복', '영어', '생각', '사랑', '생각']","['바다', '키스', '졸업', '행복', '영어', '생각', '사랑', '생각']"
98,@aboutmee,"['퇴사', '주말여행', '자유', '퇴사', '요가', '충전']","['퇴사', '주말', '여행', '자유', '퇴사', '요가', '충전']"
99,@absdisc,"['애니메이션', '일본', '현실', '전기자동차', '자동차', '닛산', '발렌타인데이', '초콜릿', '안중근', '의료', '인공지능', '왓슨', '음식', '냉면', '빙고', '의사', '의학', '서양의학', '세포치료', '면역세포', '줄기세포', '역사', '위생', '건강']","['애니메이션', '일본', '현실', '전기', '자동차', '자동차', '닛', '산', '발렌타인', '데이', '초콜릿', '안중근', '의료', '인공지능', '왓', '슬', 'ㄴ', '음식', '냉면', '빙고', '의사', '의학', '서양', '의학', '세포', '치료', '면역', '세포', '줄기', '세포', '역사', '위생', '건강']"
100,@abusehealer,"['여행', '해외여행', '버스킹', '여행', '수염', '휴대폰', '여행', '사주', '에디터', '비행기', '여행', '유럽여행', '조지아', '행운', '여행', '버스킹', '여행', '유럽']","['여행', '해외여행', '버스', '킹', '여행', '수염', '휴대폰', '여행', '사주', '에디터', '비행기', '여행', '유럽', '여행', '조지아', '행운', '여행', '버스', '킹', '여행', '유럽']"
101,@acdcrock,"['리뷰', '좋은음악']","['리뷰', '좋', '은', '음악']"
102,@acolt,"['표정', '감정']","['표정', '감정']"
103,@across124,"['영화', '종교', '리뷰', '췌장', '건강', '수술']","['영화', '종교', '리뷰', '췌장', '건강', '수술']"
104,@addsy,"['거짓말', '엄마', '거짓', '사랑', '단어', '시', '자기계발', '소비', '습관', '생각', '주문', '우주']","['거짓말', '엄마', '거짓', '사랑', '단어', '시', '자기계', '받', '소비', '습관', '생각', '주문', '우주']"
105,@adipoman,"['가을', '악보', '마음']","['가을', '악보', '마음']"
106,@aditoreum,"['어머니', '엄마', '할머니', '마음이야기', '슬픔', '생각']","['어머니', '엄마', '할머니', '마음', '이야기', '슬픔', '생각']"
107,@adkyung,"['뒷모습', '아이', '축구', '메시', '이니에스타', '축구', '미역', '생일', '아이', '민요', '생각', '수업', '엄마', '캐슬', '염정아']","['뒷모습', '아이', '축구', '메', '시', '이', '니', '에스타', '축구', '미역', '생일', '아이', '민요', '생각', '수업', '엄마', '캐슬', '염', '정아']"
108,@adore,"['취업', '취준생', '면접']","['취업', '취', '주', 'ㄴ', '생', '면접']"
109,@adskim1028,"['퇴사', '백수', '일상생활', '퇴사', '일상', '취업']","['퇴사', '백수', '일상생활', '퇴사', '일상', '취업']"
110,@advan,"['여행', '대마도', '히타카츠']","['여행', '대마도', '히', '타', '아', '카', '아', '츠']"
111,@adyton,"['그림', '현대미술', '예술']","['그림', '현대', '미술', '예술']"
112,@aehyun,"['해외여행', '방콕', '카페', '수영', '에세이', '수필', '엄마', '수필', '에세이', '방콕', '아유타야', '사원', '방콕', '팟타이', '사원', '방콕', '해외여행', '태국여행', '방콕', '야경', '태국여행', '수필', '에세이', '글', '방콕', '해외여행', '북한']","['해외여행', '방', '콕', '카페', '수영', '에세이', '수필', '엄마', '수필', '에세이', '방', '콕', '아', '아', '유타', '야', '사원', '방', '콕', '팟', '타이', '사원', '방', '콕', '해외여행', '태국', '여행', '방', '콕', '야경', '태국', '여행', '수필', '에세이', '글', '방', '콕', '해외여행', '북한']"
113,@aeja93,"['와디즈', '옷', '농사']","['와디', '즈', '옷', '농사']"
