,author_id,keyword_list,morphs_list
12,@0haena0,"['자유부인', '엄마', '엄마', '퀘스트']","['자유', '부인', '엄마', '엄마', '퀘스', '트']"
13,@0min9845,"['개츠비', '사랑', '위대한개츠비', '소비자', '가치', '인사이트', '사랑', '이기주', '인간관계', '할아버지', '가족', '가장', '브랜드', '마케팅', '전략', '아빠', '엄마', '사랑', '마케팅', '발뮤다', '혁신', '엄마', '자식', '사랑']","['개', '츠', '비', '사랑', '위대', '하', 'ㄴ', '개', '츠', '비', '소비자', '가치', '인', '사이트', '사랑', '이기', '주', '인간관계', '할아버지', '가족', '가장', '브랜드', '마케팅', '전략', '아빠', '엄마', '사랑', '마케팅', '발', '뮤', '이', '다', '혁신', '엄마', '자식', '사랑']"
14,@0spiration,"['몰타', '유럽', '여행']","['몰', '타', '유럽', '여행']"
15,@0to1hunnit,"['음악', '노래', '콘서트', '패션', '브랜드', '편집', '인천국제공항', '인천대교', '에세이', '대학', '에세이', '공부', '영화', '연애', '여자', '성공', '자기계발', '힙합', '책', '독서', '글쓰기', '패션디자인', '패션', '잡지', '생각', '에세이', '단상', '문학', '소설', '독서', '김한길', '작가', '정치인', '중학교', '에세이', '인생', '인천', '뉴욕', '에세이', '힙합', '인생', '인물', '체벌', '학원', '에세이', '단상', '지하철', '에세이', '인생', '성공', '실패']","['음악', '노래', '콘서트', '패션', '브랜드', '편집', '인천', '국제공항', '인천', '대교', '에세이', '대학', '에세이', '공부', '영화', '연애', '여자', '성공', '자기계', '받', '힙합', '책', '독서', '글쓰기', '패션', '디자인', '패션', '잡지', '생각', '에세이', '단상', '문학', '소설', '독서', '김', '하', 'ㄴ', '길', '작가', '정치인', '중학교', '에세이', '인생', '인천', '뉴욕', '에세이', '힙합', '인생', '인물', '체벌', '학원', '에세이', '단상', '지하철', '에세이', '인생', '성공', '실패']"
17,@10000score,"['요가', '다이어트', '그림일기', '운동', '그림일기', '요가', '그림일기', '웹툰', '요가']","['요가', '다이어트', '그림', '일기', '운동', '그림', '일기', '요가', '그림', '일기', '웹', '툰', '요가']"
19,@100ido,"['아이러니', '사람', '상처']","['아이러니', '사람', '상처']"
20,@119healing,['소방관'],['소방관']
21,@12myapril,"['일상', '그림', '봄']","['일상', '그림', '봄']"
22,@131ji,"['트렌드', '독서', '후기']","['트렌드', '독서', '후기']"
23,@137tjdqo,"['키위', '과일', '농산물', '브랜드', '과일', '참외', '토마토', '부산', '과일']","['키', '위', '과일', '농산물', '브랜드', '과일', '참외', '토마토', '부산', '과일']"
24,@1390619,"['겸손', '태도', '작가', '식물', '퇴사', '신경정신과', '독립서점', '독립출판', '출판', '미용실', '헤어디자이너', '머리', '독서', '채식', '죽음', '미니멀라이프', '공간', '비움']","['겸손', '태도', '작가', '식물', '퇴사', '신경', '정신', '과', '독립', '서점', '독립', '출판', '출판', '미용실', '헤어', '디자이너', '머리', '독서', '채식', '죽음', '미니멀', '라이프', '공간', '비우', 'ㅁ']"
25,@13july,"['그림일기', '일러스트레이션', '정전', '미니멀라이프', '라이프스타일', '일러스트레이션', '쓰레기', '일러스트레이션', '환경', '소비생활', '라이프스타일', '일러스트레이션', '일러스트레이션', '라이프스타일', '인생', '그림일기', '일러스트레이션', '이민생활', '중고거래', '일러스트레이션', '미니멀리스트']","['그림', '일기', '일', '러스트', '레이션', '정전', '미니멀', '라이프', '라이프', '스타일', '일', '러스트', '레이션', '쓰레기', '일', '러스트', '레이션', '환경', '소비', '생활', '라이프', '스타일', '일', '러스트', '레이션', '일', '러스트', '레이션', '라이프', '스타일', '인생', '그림', '일기', '일', '러스트', '레이션', '이민', '생활', '중고', '거래', '일', '러스트', '레이션', '미니멀', '리스트']"
26,@1khhan,"['박하사탕', '순간', '영화', '복숭아', '여름바다', '사랑', '영화', '어벤져스', '히어로물', '루소', '교육', '무기력', '생각', '설거지', '영화', '심야영화', '사랑', '우리', '영향', '사랑', '슈퍼맨', '강적', '사랑', '상실', '고독', '생각', '우리', '애정결핍', '결핍', '습관', '위플래쉬', '영화', '라라랜드', '우주', '순간', '명왕성', '마음', '한강', '사랑', '자신', '이해', '심리', '위플래쉬', '라라랜드', '영화', '생각', '칭찬', '능력', '생각', '연애', '사랑', '생각', '마시멜로', '비타민', '자신', '싸움', '자아', '라이너스의담요', '겨울왕국', '사용']","['박하사탕', '순간', '영화', '복숭아', '여름', '바다', '사랑', '영화', '어', '어', '베', 'ㄴ', '지', '어', '스', '히', '어로', '물', '루', '소', '교육', '무기력', '생각', '설거지', '영화', '심야', '영화', '사랑', '우리', '영향', '사랑', '슈퍼맨', '강적', '사랑', '상실', '고독', '생각', '우리', '애정', '결핍', '결핍', '습관', '위', '플래쉬', '영화', '라', '라', '랜드', '우주', '순간', '명왕성', '마음', '한강', '사랑', '자신', '이해', '심리', '위', '플래쉬', '라', '라', '랜드', '영화', '생각', '칭찬', '능력', '생각', '연애', '사랑', '생각', '마', '시', '멜로', '비타민', '자신', '싸움', '자아', '라이너스', '의', '담요', '겨울', '왕국', '사용']"
27,@1million,"['직딩공감', '잔소리', '격려', '그림일기', '공감에세이', '감성사진', '회사', '리더', '직딩', '직딩공감', '인생', '직장', '회사', '계획', '직딩', '배려', '직딩공감', '문화', '그림일기', '공감에세이', '드로잉', '그림일기', '공감에세이', '글쓰기', '그림일기', '공감에세이', '글쓰기', '그림일기', '공감에세이', '글쓰기', '직딩공감', '시간', '회사', '야근', '업무', '근무시간', '연말정산', '소득공제', '월급', '직장인', '일상', '직딩공감', '스마트', '전략', '목표', 'AI', '빅데이터', '로봇', '그림일기', '글쓰기', '공감에세이']","['직', '딩', '공감', '잔소리', '격려', '그림', '일기', '공감', '에', '세', '이', '감성', '사진', '회사', '리더', '직', '딩', '직', '딩', '공감', '인생', '직장', '회사', '계획', '직', '딩', '배려', '직', '딩', '공감', '문화', '그림', '일기', '공감', '에', '세', '이', '드로잉', '그림', '일기', '공감', '에', '세', '이', '글쓰기', '그림', '일기', '공감', '에', '세', '이', '글쓰기', '그림', '일기', '공감', '에', '세', '이', '글쓰기', '직', '딩', '공감', '시간', '회사', '야근', '업무', '근무', '시간', '연말', '정산', '소득', '공제', '월급', '직장인', '일상', '직', '딩', '공감', '스마트', '전략', '목표', 'AI', '빅', '데이터', '로봇', '그림', '일기', '글쓰기', '공감', '에', '세', '이']"
28,@1one,"['손흥민', '챔피언스리그', '해외축구', '이강인', '해외축구', '발렌시아', '기성용', '프리미어리그', '해외축구', '시', '에세이', '섬', '손흥민', '챔피언스리그', '손흥민골', '기성용', '프리미어리그', '해외축구', '손흥민', '해외축구', '프리미어리그', '분데스리가', '해외축구', '바이에른뮌헨', '맨시티', '프리미어리그', '해외축구', '맨유', '첼시', '해외축구', '손흥민', '토트넘', '해외축구', '손흥민', '해외축구', '토트넘', '맨유', '프리미어리그', '해외축구']","['손', '흥', '민', '챔피언', '스리', '긋', '해외', '축구', '이', '강인', '해외', '축구', '발', '렌', '시', '아', '기성', '용', '프리미어', '리그', '해외', '축구', '시', '에세이', '섬', '손', '흥', '민', '챔피언', '스리', '긋', '손', '흥', '민', '골', '기성', '용', '프리미어', '리그', '해외', '축구', '손', '흥', '민', '해외', '축구', '프리미어', '리그', '불', 'ㄴ', '데', '스리', '가', '해외', '축구', '바', '이에', '른뮌', '헤', 'ㄴ', '맨', '시티', '프리미어', '리그', '해외', '축구', '맨', '유', '첼', '시', '해외', '축구', '손', '흥', '민', '토트', '넘', '해외', '축구', '손', '흥', '민', '해외', '축구', '토트', '넘', '맨', '유', '프리미어', '리그', '해외', '축구']"
29,@2002cta,"['상가투자', '상가분양', '상가', '부동산', '상가분양', '분양정보', '부동산', '파생상가', '상가', '부동산', '상가분양', '상가투자', '부동산', '상가투자', '상가', '부동산', '상가투자', '상가분양', '상가투자', '부동산', '상가', '상가', '상가분양', '분양상가', '부동산', '차별화', '설계', '상가', '상가분양', '더블역세권', '상가', '부동산', '분양상가', '부동산', '상가', '상가분양']","['상가', '투자', '상가', '분양', '상가', '부동산', '상가', '분양', '분양', '정보', '부동산', '파생', '상가', '상가', '부동산', '상가', '분양', '상가', '투자', '부동산', '상가', '투자', '상가', '부동산', '상가', '투자', '상가', '분양', '상가', '투자', '부동산', '상가', '상가', '상가', '분양', '분양', '상가', '부동산', '차별화', '설계', '상가', '상가', '분양', '더블', '역세권', '상가', '부동산', '분양', '상가', '부동산', '상가', '상가', '분양']"
30,@200soo,"['로또복권', '로또', '당첨']","['로또', '복권', '로또', '당첨']"
31,@2014marie,"['사람', '일상', '페이스북', '개인정보', '시사이슈', '드라마', '리뷰', '넷플릭스']","['사람', '일상', '페이스', '북', '개인', '정보', '시사', '이슈', '드라마', '리뷰', '넷', '플릭', '슬']"
32,@20161204,"['여행', '속초', '브랜드']","['여행', '속', '초', '브랜드']"
33,@21missionary,"['사랑', '행복', '세상', '아재', '개그', '아저씨', '고독', '관심', '육아', '가족', '유언', '사랑', '눈길', '말', '사랑']","['사랑', '행복', '세상', '아재', '개그', '아저씨', '고독', '관심', '육아', '가족', '유언', '사랑', '눈길', '말', '사랑']"
34,@22z,"['주짓수', '운동', '스타트']","['주', '짓', '수', '운동', '스타트']"
35,@24ngawa,"['프레임', '마음', '심리']","['프레임', '마음', '심리']"
36,@2589000,"['시간', '자기계발', '청소', '노력', '성공', '인생']","['시간', '자기계', '받', '청소', '노력', '성공', '인생']"
37,@2691999,"['한국예술종합학교', '우면산', '남부터미널', '어린이대공원', '세종대학교', '동물원', '서울둘레길', '연희', '시장', '갓바위', '목포', '스케치', '한국영화', '유해진', '영화리뷰', '고레에다히로카즈', '오다기리죠', '영화리뷰', '목포', '유달산', '스케치', '사랑', '영화리뷰', '폴란드', '영화', '일본영화', '영화리뷰', '일본애니매이션', '호소다마모루', '리뷰', '서울둘레길', '반포대교', '남산', '한국영화', '벙커', '영화리뷰']","['한국', '예술', '종합', '학교', '우', '이', '면', '산', '남부', '터미널', '어린이', '대공원', '세종', '대학교', '동물원', '서울', '둘레', '긷', '연희', '시장', '갓바위', '목포', '스케치', '한국', '영화', '유해', '진', '영화', '리뷰', '고', '레', '에', '다히로카즈', '오', '다', '기리', '죠', '영화', '리뷰', '목포', '유달산', '스케치', '사랑', '영화', '리뷰', '폴란드', '영화', '일본', '영화', '영화', '리뷰', '일본', '애', '니', '매이', '션', '호', '소다', '마모루', '리뷰', '서울', '둘레', '긷', '반포', '대교', '남산', '한국', '영화', '벙커', '영화', '리뷰']"
38,@2840058,"['시니어창업', '창업', '경쟁상대', '계획', '작심삼일', '도전', '시니어창업', '창업', '역량개발', '창업아이템', '시니어창업', '창업', '시니어창업', '창업', '멘토링', '카페컨설팅', '카페', '창업', '시니어창업', '창업', '창업실패', '시니어창업', '창업', '노라조', '시니어창업', '창업', '세일즈']","['시니어', '창업', '창업', '경쟁', '상대', '계획', '작심', '삼일', '도전', '시니어', '창업', '창업', '역량', '개발', '창업', '아이템', '시니어', '창업', '창업', '시니어', '창업', '창업', '멘토링', '카페', '컨설팅', '카페', '창업', '시니어', '창업', '창업', '창업', '실패', '시니어', '창업', '창업', '노', '라', '좋', '시니어', '창업', '창업', '세일즈']"
39,@297green,"['초등학교', '학교생활', '입학', '글쓰기', '제주', '한글', '공부', '초등학교', '초등학교', '초등학교투어', '초등학교입학', '극한직업', '영화', '엄마', '초등학교', '입학', '학교']","['초등학교', '학교생활', '입학', '글쓰기', '제주', '한글', '공부', '초등학교', '초등학교', '초등학교', '투어', '초등학교', '입학', '극', '하', 'ㄴ', '직업', '영화', '엄마', '초등학교', '입학', '학교']"
40,@2beendaddy,"['친구', '인생', '고민', '직업', '인생', '선택', '면접', '버릇', '취준생', '면접', '회사', '업무능력']","['친구', '인생', '고민', '직업', '인생', '선택', '면접', '버릇', '취', '주', 'ㄴ', '생', '면접', '회사', '업무', '능력']"
41,@2edu4all,"['극한직업', '영화감상', '영화', '증인', '영화리뷰', '영화비평']","['극', '하', 'ㄴ', '직업', '영화', '감상', '영화', '증인', '영화', '리뷰', '영화', '비평']"
42,@2eesg,"['당신', '잉크', '종이']","['당신', '잉크', '종이']"
43,@2gafour,"['롤러코스터', '놀이', '해외여행', '커피', '아메리카노', '정신', '아가', '소녀', '엄마', '만화책', '와인', 'queen', '원두', '커피', '그라인더', '가든그로브', '싱가포르', '우주', '책', '좋은글', '사진', '인공', '자연', '강도', '인격', '무관심', '고통', '오늘', '만남', '친구', '눈물', '마음', '바다', '노을', '파도', '처음', '시작', '소환', '웃음', '소리', '첫날', '도착', '행복', '어린왕자']","['롤러', '코스터', '놀이', '해외여행', '커피', '아메리카', '노', '정신', '아가', '소녀', '엄마', '만화책', '와인', 'queen', '원두', '커피', '그라인더', '가든', '그로브', '싱', '가', '아', '포', '르', '우주', '책', '좋', '은', '글', '사진', '인공', '자연', '강도', '인격', '무관심', '고통', '오늘', '만남', '친구', '눈물', '마음', '바다', '노을', '파도', '처음', '시작', '소환', '웃음', '소리', '첫날', '도착', '행복', '어리', 'ㄴ', '왕자']"
44,@2hananim,"['공인중개사', '부동산', '고객', '비즈니스', '부동산', '공인중개사']","['공인', '중개사', '부동산', '고객', '비즈니스', '부동산', '공인', '중개사']"
45,@2highlight,"['아를', '마르세유', '프랑스', '카페', '커피', '핫플레이스', '생각', '여행', '일상']","['아', '를', '마르', '세유', '프랑스', '카페', '커피', '핫', '플레이스', '생각', '여행', '일상']"
46,@2ivorybear,"['공감에세이', '감성사진', '필름카메라']","['공감', '에', '세', '이', '감성', '사진', '필름', '카메라']"
47,@2jinoo,"['영화', '어벤져스', '마블', '영화', '글', '리뷰', '영화', '리뷰', '영화리뷰', '영화', '믿음', '리뷰']","['영화', '어', '어', '베', 'ㄴ', '지', '어', '스', '마블', '영화', '글', '리뷰', '영화', '리뷰', '영화', '리뷰', '영화', '믿음', '리뷰']"
48,@2lab,"['좀비영화', '좀비', '좀비물']","['좀비', '영화', '좀비', '좀비', '물']"
49,@2months,"['독립출판', '독서', '에세이', '여행', '독서', '독립출판', '독립출판', '인터뷰', '독서', '직업', '사서', '독서', '독립출판', '청소', '독서']","['독립', '출판', '독서', '에세이', '여행', '독서', '독립', '출판', '독립', '출판', '인터뷰', '독서', '직업', '사서', '독서', '독립', '출판', '청소', '독서']"
50,@2mushroom,"['공감에세이', '그림일기', '드로잉']","['공감', '에', '세', '이', '그림', '일기', '드로잉']"
51,@2my,"['즐거움', '퇴사', '카뮈']","['즐거움', '퇴사', '카', '뮈']"
52,@2o18o519,"['인테리어', '시장', '셀프']","['인테리어', '시장', '셀프']"
53,@2string,"['덴마크', '음식', '북유럽', '아들', '딸', '차별', '케이크', '부다페스트', '빈']","['덴마크', '음식', '북유럽', '아들', '딸', '차별', '케이크', '부', '다', '페스트', '비', 'ㄴ']"
54,@2xcollector,"['여행', '조지아', '기본정보']","['여행', '조지아', '기본', '정보']"
55,@3000won,"['문화예술', '미술', '일러스트', '문화예술', '예술', '모임', '문화예술', '일러스트레이션', '미술']","['문화', '예술', '미술', '일', '러스트', '문화', '예술', '예술', '모임', '문화', '예술', '일', '러스트', '레이션', '미술']"
56,@30shesummer,"['가슴', '콤플렉스', 'SNS', '강점', '성공', '커리어', '택배', '테이프', '물류서비스']","['가슴', '콤플렉스', 'SNS', '강점', '성공', '커리어', '택배', '테이프', '물류', '서비스']"
57,@30story,"['한남동', '원주민', '젠트리피케이션', '한남동', '젠트리피케이션', '아파트']","['한남동', '원주민', '젠', '트리', '피케이', '션', '한남동', '젠', '트리', '피케이', '션', '아파트']"
58,@30years,"['독일', '중국인', '도시', '여행', '독일', '낭만', '베를린', '독일', '도시', '버스킹', '도시', '라이프치히', '독일', '드레스덴', '도시']","['독일', '중국인', '도시', '여행', '독일', '낭만', '베를린', '독일', '도시', '버스', '킹', '도시', '라이프', '하', '지', '히', '독일', '드레스', '델', 'ㄴ', '도시']"
59,@3122146564,"['레시피', '홈베이킹', '꽈배기', '요리', '레시피', '홈베이킹', '레시피', '홈베이킹', '요리', '레시피', '홈베이킹', '베이킹', '요리', '에어프라이어', '레시피', '레시피', '요리', '방울양배추', '요리', '새우튀김', '새우', '레시피', '홈베이킹', '요리', '요리', '레시피', '오미자', '요리', '레시피', '삼겹살']","['레', '시피', '홈', '베이', '킹', '꽈배기', '요리', '레', '시피', '홈', '베이', '킹', '레', '시피', '홈', '베이', '킹', '요리', '레', '시피', '홈', '베이', '킹', '베이', '킹', '요리', '에어', '프라이어', '레', '시피', '레', '시피', '요리', '방울', '양배추', '요리', '새우', '튀김', '새우', '레', '시피', '홈', '베이', '킹', '요리', '요리', '레', '시피', '오미자', '요리', '레', '시피', '삼겹살']"
60,@3701yojung,"['우울증', '정신건강의학과', '취준생', '우울증', '정신건강의학과', '일기', '수면제', '우울증', '치료', '자각', '내용', '정신과', '우울증', '취준생']","['우울증', '정신', '건강', '의학', '과', '취', '주', 'ㄴ', '생', '우울증', '정신', '건강', '의학', '과', '일기', '수면제', '우울증', '치료', '자각', '내용', '정신과', '우울증', '취', '주', 'ㄴ', '생']"
61,@38ddarazi,"['그림', '미술', '미술품', '그림', '미술', '그림에세이', '공공미술', '그림', '미술', '명화', '미술', '그림에세이', '그림', '현대미술', '미술']","['그림', '미술', '미술품', '그림', '미술', '그림', '에', '세', '이', '공공', '미술', '그림', '미술', '명화', '미술', '그림', '에', '세', '이', '그림', '현대', '미술', '미술']"
62,@38mrlee,"['은하수', '몽골여행', '몽골', '별', '은하수', '영상제작', '별', '영상제작', '반영사진']","['은하수', '몽', '골', '여행', '몽', '골', '별', '은하수', '영상', '제작', '별', '영상', '제작', '반영', '사진']"
63,@3fbaksghkrk,"['습관', '동기', '심리학', '인간중심상담', '상담', '주요상담기법', '심리', '불안', '인지', '심리', '음주', '음식', '심리', '관계', '자존감', '심리학', '인지발달', '영상매체', '심리학', 'SNS', '중독', '심리학', '관계', '연애', '사이코패스', '심리학', '인격장애', '심리', '코르셋', '외모', '건강', '심리', '식단', '인간중심상담', '상담', '심리', '고양이', '심리학', '반려동물', '심리', '감정', '공감', '인간중심상담', '상담', '인간', '심리학', '부모교육', '청소년', '꼰대', '지혜', '심리', '심리', '성공', '나르시시즘', '결혼', '싱글', '심리학']","['습관', '동기', '심리학', '인간', '중심', '상담', '상담', '주요', '상담', '기법', '심리', '불안', '이', 'ㄴ지', '심리', '음주', '음식', '심리', '관계', '자존', '감', '심리학', '이', 'ㄴ지', '발달', '영상', '매체', '심리학', 'SNS', '중독', '심리학', '관계', '연애', '사이코', '패스', '심리학', '인격', '장애', '심리', '코르셋', '외모', '건강', '심리', '식단', '인간', '중심', '상담', '상담', '심리', '고양이', '심리학', '반려', '동물', '심리', '감정', '공감', '인간', '중심', '상담', '상담', '인간', '심리학', '부모', '교육', '청소년', '꼰대', '지혜', '심리', '심리', '성공', '나르시시즘', '결혼', '싱글', '심리학']"
64,@3hdl,"['넷플릭스', '음식', '테이블', '알람', '시간', '계산', '사과호떡', '호떡', '사과조림']","['넷', '플릭', '슬', '음식', '테이블', '알람', '시간', '계산', '사과', '호떡', '호떡', '사과', '조림']"
65,@3minff,"['단편영화', '영화', '영화추천', '인터뷰', '배우', '유튜브']","['단편', '영화', '영화', '영화', '추천', '인터뷰', '배우', '유', '튜브']"
66,@3swallowing,"['직장인', '서비스', '감정노동']","['직장인', '서비스', '감정', '노동']"
67,@404homealone,"['근황', '영상', '마음']","['근황', '영상', '마음']"
68,@4nab2,"['만화', '웹툰', '남편']","['만화', '웹', '툰', '남편']"
69,@4noramyeon,"['봄', '기다림', '꽃', '걱정', '마음', '공감에세이', '봄', '하늘', '별', '정월대보름', '보름달', '소원', '성당', '가톨릭', '봄', '공감에세이', '캘리그라피', '봄', '파도', '공감에세이', '풍경', '바람', '공감에세이', '감동', '공감', '캘리그라피', '가톨릭', '밥', '공감에세이', '꽃', '나무', '봄', '세월', '명동', '추억', '마음', '정치', '일본', '노래', '공감에세이', '추억', '봄', '꽃', '공감에세이', '삼일절', '대한민국', '독립운동', '동강', '봄', '평화', '봄', '오늘', '공감에세이', '나비', '그리움', '감성에세이', '엄마', '걱정', '공감에세이', '봄', '겨울', '그리움', '불교', '공감', '공감에세이', '봄', '감성에세이', '공감', '봄', '희망', '3월', '봄꽃', '그리움', '공감에세이']","['봄', '기다리', 'ㅁ', '꽃', '걱정', '마음', '공감', '에', '세', '이', '봄', '하늘', '별', '정월', '대보름', '보름달', '소원', '성당', '가톨릭', '봄', '공감', '에', '세', '이', '캐', 'ㄹ', '리', '그', '라', '피', '봄', '파도', '공감', '에', '세', '이', '풍경', '바람', '공감', '에', '세', '이', '감동', '공감', '캐', 'ㄹ', '리', '그', '라', '피', '가톨릭', '밥', '공감', '에', '세', '이', '꽃', '나무', '봄', '세월', '명동', '추억', '마음', '정치', '일본', '노래', '공감', '에', '세', '이', '추억', '봄', '꽃', '공감', '에', '세', '이', '삼일절', '대한민국', '독립운동', '동강', '봄', '평화', '봄', '오늘', '공감', '에', '세', '이', '나비', '그리움', '감성', '에', '세', '이', '엄마', '걱정', '공감', '에', '세', '이', '봄', '겨울', '그리움', '불교', '공감', '공감', '에', '세', '이', '봄', '감성', '에', '세', '이', '공감', '봄', '희망', '3', '월', '봄꽃', '그리움', '공감', '에', '세', '이']"
70,@4thfloor,"['미세먼지', '군대', '에피소드']","['미세', '먼지', '군대', '에피소드']"
71,@5-comet,"['책', '책리뷰', '문화']","['책', '책', '리뷰', '문화']"
72,@533campus,"['창업교육', '창업경험', '스타트업']","['창업', '교육', '창업', '경험', '스타트', '업']"
73,@58snow,"['1학년', '관계', '질문']","['1', '학년', '관계', '질문']"
75,@5minsnovel,"['소설', '단편소설', '연재소설', '소설', '단편소설', '연재소설', '소설', '단편소설', '연재소설']","['소설', '단편', '소설', '연재', '소설', '소설', '단편', '소설', '연재', '소설', '소설', '단편', '소설', '연재', '소설']"
76,@5moon2,"['순간', '생각', '인생', '인터뷰', '사진', '아일랜드', '인터뷰', '인정', '떡볶이']","['순간', '생각', '인생', '인터뷰', '사진', '아일랜드', '인터뷰', '인정', '떡볶이']"
77,@5more-seconds,"['다큐멘터리', '예능', '인생']","['다큐멘터리', '예능', '인생']"
78,@6671105,"['그림일기', '해외여행', '글쓰기']","['그림', '일기', '해외여행', '글쓰기']"
79,@6gram,"['삼겹살', '돼지고기', '고기', '카페', '마장동', '분식']","['삼겹살', '돼지고기', '고기', '카페', '마장동', '분식']"
80,@6om,"['에이전시', '디자이너', '회사']","['에이', '전시', '디자이너', '회사']"
81,@7-words,"['타일', '보수공사', '셀프인테리어']","['타일', '보수', '공사', '셀프', '이', 'ㄴ', '테리어']"
82,@700km,"['아이', '인격', '비판']","['아이', '인격', '비판']"
83,@707,"['아이슬란드', '새해', '커리어']","['아이', '슬', '란', '들', '새해', '커리어']"
84,@712,"['디자인', 'system', 'brand']","['디자인', 'system', 'brand']"
85,@727me,"['트렌드', '마케팅', '브랜딩']","['트렌드', '마케팅', '브랜딩']"
86,@76klavier,"['유럽여행', '아들', '드레스덴', '봄', '봄나들이', '클래식', '클래식', '눈물', '피아노', '아들', '유럽', '클래식', '클래식', '유럽여행', '새해', '책', '여행', '유럽', '클래식', '마음', '브람스', '피아노', '감성에세이', '책', '유럽여행', '도시', '클래식', '클래식', '나', '쿠바', '클래식', '친구', '피아노', '사랑', '파리', '클래식']","['유럽', '여행', '아들', '드레스', '델', 'ㄴ', '봄', '봄', '나들이', '클래식', '클래식', '눈물', '피아노', '아들', '유럽', '클래식', '클래식', '유럽', '여행', '새해', '책', '여행', '유럽', '클래식', '마음', '브람스', '피아노', '감성', '에', '세', '이', '책', '유럽', '여행', '도시', '클래식', '클래식', '나', '쿠바', '클래식', '친구', '피아노', '사랑', '파리', '클래식']"
87,@79alley,['코끼리'],['코끼리']
88,@7ewworld,"['자기계발', '자신감', '마케팅']","['자기계', '받', '자신감', '마케팅']"
89,@7monaco,"['영화', '정체성', '그림책']","['영화', '정체성', '그림책']"
90,@7rboy,"['UX', '서비스', '자동차']","['UX', '서비스', '자동차']"
91,@7wishlist,"['걷기', '봄', '운동', '버스', '도림천', '타임슬립', '골목', '글쓰기', '이야기창고', '영화', '겟아웃', '스릴러', '영화', '불교', '영화평', '문학동네', '시인', '팟캐스트', '글쓰기', '고독', '연휴', '전시', '예술의전당', '그림']","['걷', '기', '봄', '운동', '버스', '도림천', '타임', '슬립', '골목', '글쓰기', '이야기', '창고', '영화', '겟아', '웃', '스릴러', '영화', '불교', '영화', '평', '문학', '동네', '시인', '팟', '캐스트', '글쓰기', '고독', '연휴', '전시', '예술', '의', '전당', '그림']"
92,@80percentage,"['중국여행', '여행', '중국', '세계여행', '해외여행', '콜롬비아', '창업여행', '해외직구', '브라질', '창업여행', '세계여행', '베트남']","['중국', '여행', '여행', '중국', '세계', '여행', '해외여행', '콜롬비아', '창업', '여행', '해외', '직구', '브라질', '창업', '여행', '세계', '여행', '베트남']"
93,@8893,"['연애', '매력', '사랑']","['연애', '매력', '사랑']"
